技能ID	名称	动作ID	技能类型	是否宠物绝技	开放等级	是否强制技能	所属槽位	技能冷却时间	真气消耗	灵力消耗	气力消耗	施放战斗状态	施放条件	施放姿态	指定目标	射程	智能选取	智能选取射程	智能选取角度	施放是否朝向目标	切换技能	切换技能时间	切换类型	切换限制	施法时间	持续施法时间	施放切换姿态	承接特定技能忽略前摇	施放速度提高	描述	特殊技能目标
id	name	aniid	type	isPetStunt	openLevel	forceSkill	slotid	cd	costZhenqi	CostLingqi	CostQili	castingBattleState	castingConditions	castingPosture	isNeedTarget	range	isAutoTarget	autoTargetRange	autoTargetAngle	lookAtTarget	changeSkill	changeSkillTime	changeSkillType	changeSkillLimit	castingTime	castingContinueTime	toPosture	skipAniSkill		des	targetSearch
int	str	str	enum:Type	bool	int	bool	int	float	int	int	int	enum:CastingBattleState	int	ints	bool	float	bool	float	float	int	int	float	enum:SwitchType	int	float	float	int			str	str
10400	小兵攻击	10400						0							1	3	
10401	小兵攻击	10401						0							1	4	
10402	小兵攻击	10402						0							1	4	
10500	狼攻击	10500						0							1	3	
10501	狼攻击2	10501						0							1	6	
10502	后跳	10502						15								
10600	白虎监工攻击1	10600													1	3	
10601	白虎监工攻击3	10601													1	3	
10602	后跳	10602						15							1	3	
10700	白虎战士攻击1	10700													1	3	
10701	白虎战士攻击2	10701						30							1	3	
10702	白虎战士攻击3	10702						15							1	3	
10800	隋军士兵攻击1	10800													1	2	
10801	隋军士兵攻击2	10801													1	2	
10802	隋军士兵攻击3	10802						15							1	2	
10900	红莲女巫普通攻击1	10900													1	15	
10901	红莲女巫普通攻击2	10901													1	15	
10902	红莲女巫精英技能飞火流星3	10902						20							1	15	
10903	红莲女巫技能炎弹连闪4	10903						5							1	15	
11000	隋军弩手攻击1	11000													1	15	
11001	隋军弩手攻击2	11001													1	15	
11002	隋军弩手攻击3	11002						18							1	15	
11100	白虎刺客攻击普攻	11100													1	2	
11101	白虎刺客攻击重击	11101						10							1	2	
11102	白虎刺客攻击隐身	11102						35							1	6	
11103	白虎刺客攻击飞镖	11103						2							1	12	
11104	白虎刺客攻击重击	11101						5							1	2	
11200	恶魔攻击1	11200													1	2	
11201	恶魔攻击2	11201													1	4	
11202	恶魔攻击3	11202						30								2	
11300	青龙勇士攻击1	11300													1	2	
11301	青龙勇士攻击2	11301													1	2	
11302	青龙勇士攻击2	11302						15							1	2	
11400	羽民战士	11400													1	3	
11401	羽民战士	11401													1	7	
11402	羽民战士	11402													1	3	
11500	青龙圣徒	11500													1	15	
11501	青龙圣徒	11501													1	15	
11502	青龙圣徒	11502						15							1	15	
11600	尸化士兵攻击1	11600													1	2	
11601	尸化士兵攻击2	11601													1	2	
11602	尸化士兵攻击3	11602						15							1	3	
11700	尸化弩手攻击1	11700													1	7	
11701	尸化弩手攻击2	11701													1	7	
11702	尸化弩手攻击3	11702						15							1	15	
11801	自爆僵尸	11801													1	100	
11802	自爆僵尸	11802													1	100	
11803	自爆僵尸	11803														100	
12000	自爆僵尸不动	12000													1	4				-1	
12001	自爆僵尸不动	12001													1	4				-1	
12002	自爆僵尸不动	12002														4				-1	
12100	独孤宁可攻击1	12100													1	10	
12101	独孤宁可攻击2	12101													1	10	
12102	技能攻击1	12102						10							1	10	
12201	门派弟子普通攻击	12201													1	2	
12202	门派弟子普通攻击	12202													1	2	
12203	门派弟子普通攻击	12203						15							1	6	
12300	翼蛇	12300						2							1	15	
12301	翼蛇	12301						10							1	15	
12302	翼蛇	12302						10							1	15										2	
12400	隋军勇士	12400													1	2	
12401	隋军勇士	12401													1	2	
12402	隋军勇士	12402						10							1	2	
12500	魅魔	12500						2							1	15	
12501	魅魔	12501						2							1	15	
12502	魅魔	12502						15								15	
12600	探子毒飞镖1	12600													1	15	
12601	探子毒飞镖2	12601													1	15	
12602	探子后空翻	12602						5							1	15	
12603	探子烟雾弹	12603														
12700	蚩尤族甲士攻击1	12700										1			1	3	
12701	蚩尤族甲士攻击2	12701													1	3	
12702	蚩尤族甲士攻击3	12702						15							1	3	
12800	冤魂普攻	12800													1	1	
12801	冤魂普攻2	12801													1	1	
12802	冤魂追击	12802						15							1	15	
12900	火光兽普攻抓	12900													1	1	
12091	火光兽普攻扑	12091													1	1	
12902	火光兽普攻扑	12902						15							1	1	
13000	魔化人类普攻	13000													1	2.5	
13001	魔化人类重爪	13001													1	3	
13002	魔化人类毒液	13002						15							1	5	
13100	朱雀斥候普攻	13100						3							1	15	
13101	朱雀斥候普攻2	13101						3							1	15	
13102	朱雀斥候普攻2	13102						15							1	15	
13200	蚩尤族战士攻击1	13200													1	3	
13201	蚩尤族战士攻击2	13201													1	3	
13202	蚩尤族战士攻击3	13202						15							1	3	
13300	地雷	13300													1	3	
13400	隋军锤兵普通攻击1	13400													1	3	
13401	隋军锤兵普通攻击2	13401													1	3	
13402	隋军锤兵技能捶地	13402						15								3	
13500	隋军柱兵普通攻击1	13500													1	2	
13501	隋军柱兵普通攻击2	13501													1	2	
13502	隋军柱兵技能捶地	13502						15								5	
13600	隋军军官三连斩普攻	13600													1	2	
13601	隋军军官直线冲击	13601						25								8	
13602	隋军军官致命劈砍	13602						30								3	
13603	隋军军官一骑当千	13603						25								3	
13604	隋军军官跃击	13604						35								15	
13605	隋军军官变身	13605														110	
13606	隋军军官竖砍普攻	13606													1	2	
13610	弱化军官竖砍普攻	13606													1	2	
13700	隋军军官变身普攻1	13700						2						1		3	
13701	隋军军官变身普攻2	13701						2						1		3	
13702	隋军军官变身旋风	13702						25						1		5.5	
13703	隋军军官变身泰山压顶	13703						25						1		15		1	18	
13704	隋军军官变身冲锋	13704						35						1		12	
13705	隋军军官变身战嚎	13705						40						1		6	
13706	隋军军官变身普攻1（组队副本用）	13700						2								5	
13707	隋军军官变身普攻2（组队副本用）	13701						2								5	
13708	隋军军官变身旋风（组队副本用）	13708						25								100	
13709	隋军军官变身泰山压顶（组队副本用）	13703						30								100	
13710	隋军军官变身战嚎（组队副本用）	13705						35								100	
13711	恶魔将军普攻1（天书用）	13711														5	
13712	恶魔将军普攻2（天书用）	13712														5	
13713	恶魔将军旋风（天书用）	13713						10								10	
13714	恶魔将军泰山压顶（天书用）	13714						10								10	
13715	恶魔将军战嚎（天书用）	13715						10								15	
13800	隋军士兵伪装1	10800														3	
13801	隋军士兵伪装2	10801														3	
13802	隋军士兵伪装3	10802						15								4	
13900	红莲女巫攻击1	10900													1	15	
13901	红莲女巫伪装攻击2	10901													1	15	
13902	红莲女巫伪装攻击3	10902						15							1	15	
14000	剑舞攻击1	14000													1	3	
14001	墨剑·三式1	14001													1	1.6	
14100	仙女回春	14100						10							1	6	
